id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,subject,quality,positive,strong,I,author,,can't imagine a better-written treatment of the subject
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,content,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,content,narrative_structure,negative,weak,you,reader,without keeping this in mind,this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind.
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,mixed,beliefs,ideology,neutral,average,,author,mix of,A mix of the Christian beliefs mixed with sexual abuse
,,sexual abuse,courageous exit,experience,experience,positive,strong,,author,followed by,followed by a courageous exit
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,negative,weak,you,reader,into Diana books,after you 've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,character,narrative,negative,strong,I,author,at points,felt the character's journey was really a tough one to plod through
,,character's journey,ultimately satisfying,character,narrative,positive,strong,I,author,ultimately,ultimately satisfying
b-7,OMG this book had my head spinning .,book,had my head spinning,content,general,positive,strong,OMG,author,,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,content,general,positive,weak,it,author,finally,was good to finish the series finally
,,magical world,some escape,setting,experience,positive,weak,,author,,there was some escape into the magical world
,,series,not as much fun to read,content,enjoyment,negative,weak,I,author,as I had hoped,just not as much fun to read as I had hoped
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,content,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
b-12,Highly recommend this book .,book,Highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,suggest,book,general,positive,strong,I,author,"if you want more details about the man in general , his family , his struggles over the years",
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,not as simple as one might think,issue,effectiveness,negative,weak,,author,various,whether various treatments were actually extending the lifespans of those afflicted
,,book,not the case,content,general,positive,strong,,author,above discussion of science and statistics,might make this book seem dreadfully boring
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot thread,narrative_development,positive,strong,we,author,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter,
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,quality,negative,strong,,author,in particular,"unsophisticated, almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,Loved,content,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,children,social_issue,negative,strong,,author,abused,sad tale of just how easy it is for these abused children to get lost in the welfare system
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,series,general,negative,strong,we,author,,about hit rock bottom
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,ability to bring an ironic touch,author,writing_style,positive,strong,,author,,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes
,,crime novel,not for the faint hearted,genre,suitability,negative,strong,,author,,this is not a crime novel for the faint hearted
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,ladies,character_trait,positive,strong,,author,a lesson to us all,can be found to be inspirational & a lesson to us all
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,insight,general,positive,weak,an avid Diana fan,fan,,For an avid Diana fan
,,certain facts,should not have been revealed,facts,general,negative,strong,,,,however
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,storytelling,positive,strong,I,author,,"Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner."
,,book,exceptional,book,quality,positive,strong,I,author,"numerous , good reviews","there are numerous , good reviews of this exceptional book"
,,treatment,comprehensive and detailed,book,content,positive,strong,I,author,for the non-expert,this is a comprehensive and detailed treatment for the non-expert
,,science and politics,clarity,explanation,clarity,positive,strong,I,author,,that manages to explain the science ( and some of the politics ) with clarity
,,narrative,compelling and often moving,book,storytelling,positive,strong,I,author,,while providing a compelling and often moving narrative
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,general,positive,strong,,author,,
,,rooftop,beyond spectacular,place,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom,great addition,accommodation,amenities,positive,strong,,author,connected to the room,was a great addition
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,strong,,author,,It 's a good place
,,,definitely consider to come again,location,general,positive,strong,,author,,will definitely consider to come again
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,location,accessibility,positive,weak,,author,a 15 min walk away,which was easy to walk from with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,nicely furnished,kept very clean
,,apartment,nicely furnished,apartment,furnishing,positive,average,,author,,nicely furnished
h-6,Really great location close to so many restaurants .,location,really great,place,accessibility,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,Oine,hospitality,positive,strong,,author,,Oine was a terrific host
,,preparation of the apartment,spotless and nicely decorated,apartment,cleanliness_and_aesthetics,positive,strong,,author,,"thoughtful with her preparation of the apartment , which was spotless and nicely decorated"
,,apartment,feels like home,apartment,comfort,positive,strong,,author,,feels like home
h-8,Excellent space in a fantastic location .,space,Excellent,location,general,positive,strong,,author,fantastic location,
,,location,fantastic,location,general,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,Tiffany's apartment space,perfect spot,accommodation,location,positive,strong,you,guest,if you're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,place,general,positive,strong,,author,By far,you could stay at in Boston
h-11,Everything was super clean .,,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,Great,place,accessibility,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hospitality,feel welcome,home,service,positive,strong,my hosts,hosts,the second I entered the home,"helping me carry my items upstairs, explaining where everything was and offering me breakfast and coffee in the morning"
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,facilities,negative,strong,,author,,does not have a kitchen
,,bathroom,must share,location,facilities,negative,strong,,author,,must share a bathroom
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,view,experience,positive,strong,we,group,for the 70-80 degree weather we were enjoying,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
h-20,I highly recommend it !,,highly recommend,it,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,Excellent,place,accessibility,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,Best,place,general,positive,strong,,author,in Boston,
h-28,Great attention to detail and very good communication,attention to detail,Great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,average,,author,,
c-1,I enjoy dancing with these shoes on my feet .,shoes,enjoy,dancing,comfort,positive,strong,I,author,these,with these shoes on my feet
c-2,Super crinoline for the price !,crinoline,Super,product,value,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,leggings,functionality,positive,weak,,author,too,so you can wear them as leggings
c-4,They hold up great !,,hold up great,,general,positive,strong,they,unspecified,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material_quality,negative,strong,I,author,always worn,was disappointed when they were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,them,holdup well,products,durability,positive,strong,I,user,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,items,comfort,positive,strong,she,speaker,,
,,,perfect,items,quality,positive,strong,she,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,item,usability,negative,strong,I,user,very carefully this morning,"could not wear them , will return"
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,ever worn,
,,shoes,stylish,footwear,design,positive,strong,,author,,
c-12,I bought 2 other pairs for other cast members !,pairs,bought,cast members,purchase,positive,strong,I,author,2 other pairs for other cast members,
c-13,Comfortable and attractive .,,Comfortable and attractive,,general,positive,strong,,,,
c-15,Everything else about these tights is amazing .,tights,amazing,product,quality,positive,strong,,author,everything else about these,
c-16,These shoes are great .,shoes,great,footwear,quality,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,legs,appearance,positive,strong,I,author,,make the legs look beautiful
,,seams,coming apart,crotch,quality,negative,strong,I,author,,have noticed the seams are coming apart at the crotch
c-18,They are nice and exactly what I expected .,,nice,items,general,positive,strong,they,author,exactly what I expected,
c-19,"My husband loves his boots , excellent quality .",boots,loves,footwear,quality,positive,strong,my husband,husband,,excellent quality
c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guidance,usability,positive,strong,you,author,,Follow the capezio size chart
c-21,The soles are soft too .,soles,soft,footwear,comfort,positive,average,,author,too,
c-24,Order 1 size larger than needed .,size,larger than needed,order,sizing,negative,weak,,,1,
l-1,Great for Programming and for low end gaming,Programming,Great,usage,functionality,positive,strong,,author,for low end gaming,
,,low end gaming,Great,usage,functionality,positive,strong,,author,,Great for Programming and for low end gaming
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,displays,functionality,negative,strong,,author,combination of these,"when the magsafe plug is caught inside the computer upon closing, breaking the monitor"
l-3,Images are too dark and blurry .,images,too dark and blurry,images,visual_quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,product,value,positive,strong,I,author,mainly to do,let me tell you
l-6,I 'm a mac user and I would love to get this laptop .,laptop,would love to get,laptop,general,positive,strong,I,user,mac user,
l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy no tactile feedback,keyboard,operational_performance,negative,strong,it,user,,
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,value,cost,positive,strong,you,author,especially having an 8th gen Intel processor,
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,product,quality,positive,strong,,author,solid,
,,keyboard,"comfortable, well-sized",keyboard,usability,positive,average,,author,,
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,quality,positive,average,,author,for discord/google hangouts/etc,
,,microphone,high enough quality,microphone,quality,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,strong,,author,,
