,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written,book,general,positive,strong,,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied with,book,general,negative,weak,other reviews,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,a mix of the Christian beliefs mixed with sexual abuse,book,general,negative,strong,,author,,
4,,,,courageous exit,book,general,positive,weak,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,i,author,at points,
7,,,character 's journey,satisfying,content,narrative_structure,positive,strong,i,author,,
8,b-7,OMG this book had my head spinning .,,OMG this book had my head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,not as much fun to read as I had hoped,book,general,negative,weak,,author,just,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
12,,,,not being at all didactic,book,general,positive,strong,,author,in the patronizing sense,
13,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,would suggest,book,general,positive,weak,,author,"if you want more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue,content,treatment,negative,weak,,author,,whether various treatments were actually extending the lifespans of those afflicted
16,,,science and statistics,dreadfully boring,content,content,negative,weak,,author,,
17,,,this book,n't the case,book,general,positive,weak,,author,,
18,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"expanded upon , elevating",book,general,positive,strong,,author,,worthy of Midkemia 's final chapter
19,,,lackluster minor plot thread,,plot,general,negative,weak,,author,,
20,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
21,,,writing,unsophisticated,content,genre,negative,strong,,author,,
22,,,writing,almost juvenile,content,genre,negative,strong,,author,in comparison to earlier volumes,
