id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,content,quality,positive,strong,I,author,,can't imagine a better-written treatment of the subject
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,book,plot,negative,average,you,reader,,this book sets up Magician's End and you will not be particularly satisfied with the ending without keeping this in mind.
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,mixed,beliefs,general,neutral,average,,,A mix of,
,,sexual abuse,mixed,experience,general,negative,strong,,,,
,,exit,courageous,action,general,positive,strong,,,,followed by a courageous exit
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep last,book,general,neutral,average,you,author,into Diana books,after you 've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,narrative,negative,strong,I,author,at points,felt the character's journey was really a tough one to plod through
,,character's journey,ultimately satisfying,story,narrative,positive,strong,I,author,ultimately,
b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,positive,strong,OMG,author,,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,content,general,positive,average,I,author,Still,to finish the series finally
,,magical world,some escape,content,experience,positive,weak,I,author,,there was some escape into the magical world
,,reading experience,not as much fun to read as I had hoped,content,enjoyment,negative,strong,I,author,,just not as much fun to read as I had hoped
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
b-12,Highly recommend this book .,this book,Highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,suggest,book,general,positive,average,I,author,"if you want more details about the man in general , his family , his struggles over the years",
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",book,not the case,content,general,positive,strong,,author,might make this book seem dreadfully boring,the above discussion of science and statistics
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,narrative_development,positive,strong,we,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,quality,negative,strong,,author,in particular,"unsophisticated, almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,Loved,book,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,situation,general,negative,strong,,author,just how easy it is for these abused children to get lost,
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,series,general,negative,strong,we,author,,
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,ability to bring an ironic touch,author,writing_style,positive,strong,,author,,Not that there is no humour
,,crime novel,not for the faint hearted,book,genre,negative,strong,,author,,this is not a crime novel for the faint hearted
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,ladies,character_trait,positive,strong,,author,a lesson to us all,
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,content,general,positive,average,avid Diana fan,fan,For an avid Diana fan,
,,certain facts,should not have been revealed,content,general,negative,strong,,,,
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,compelling,book,content,positive,strong,I,author,,Had I appreciated what a compelling narrative Mukherjee sets out
,,how well he tells it,well,book,content,positive,average,I,author,,how well he tells it
,,exceptional book,exceptional,book,general,positive,strong,I,author,"numerous, good reviews",this is a comprehensive and detailed treatment for the non-expert
,,clarity,clarity,science (and some of the politics),operational_performance,positive,average,I,author,,manages to explain the science (and some of the politics) with clarity
,,compelling and often moving narrative,compelling and often moving,narrative,content,positive,strong,I,author,,providing a compelling and often moving narrative
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,general,positive,strong,,author,,
,,rooftop,beyond spectacular,place,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom,great addition,accommodation,features,positive,strong,,author,connected to the room,was a great addition
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,strong,,author,,
,,,definitely consider to come again,location,general,positive,strong,,author,,
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,location,accessibility,positive,average,,author,a 15 min walk away,which was easy to walk from with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,property,cleanliness,positive,strong,,author,,kept very clean
,,furnished,nicely furnished,property,furnishing,positive,average,,author,,nicely furnished
h-6,Really great location close to so many restaurants .,location,really great,place,general,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,person,service_quality,positive,strong,Oine,person,,very responsive by text and email
,,preparation of the apartment,thoughtful,apartment,service_quality,positive,average,Oine,person,,
,,apartment,spotless and nicely decorated,apartment,cleanliness_and_appearance,positive,strong,,Oine,,
,,apartment,feels like home,apartment,comfort,positive,strong,,Oine,,
h-8,Excellent space in a fantastic location .,space,Excellent,location,general,positive,strong,,author,fantastic location,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,accommodation,location,positive,strong,you,author,if you 're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,locations,one of the best,accommodation,general,positive,strong,,author,By far,you could stay at in Boston
h-11,Everything was super clean .,Everything,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,Great,place,general,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hospitality,service,positive,strong,my,author,,"the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning"
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,facilities,negative,strong,,author,,
,,bathroom,must share,location,facilities,negative,strong,,author,,
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,experience,positive,strong,we,author,for the 70-80 degree weather we were enjoying,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
h-20,I highly recommend it !,it,highly recommend,product,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,Excellent,place,general,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,Best,place,general,positive,strong,,author,in Boston,
h-28,Great attention to detail and very good communication,attention to detail,Great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,average,,author,,
c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,shoes,usability,positive,strong,I,author,these shoes on my feet,
c-2,Super crinoline for the price !,crinoline,Super,product,value,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,design,positive,average,,author,,so you can wear them as leggings
c-4,They hold up great !,,hold up great,,general,positive,strong,they,unspecified,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material_quality,negative,strong,I,author,always worn,when they were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,them,holdup well,products,durability,positive,average,I,author,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",they,so comfortable,shoes,comfort,positive,strong,she,speaker,,
,,they,perfect,shoes,quality,positive,strong,she,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",them,could not wear,clothing,fit,negative,strong,I,author,very carefully,will return
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,I've ever worn
,,shoes,stylish,footwear,design,positive,average,I,author,,
c-12,I bought 2 other pairs for other cast members !,pairs,,product,purchase,neutral,average,I,author,2 other pairs for other cast members,
c-13,Comfortable and attractive .,Comfortable,Comfortable,general,comfort,positive,strong,,author,,
,,attractive,attractive,general,aesthetic,positive,strong,,author,,
c-15,Everything else about these tights is amazing .,these tights,amazing,clothing,general,positive,strong,,author,everything else about,
c-16,These shoes are great .,shoes,great,footwear,quality,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,clothing,appearance,positive,strong,I,author,,make the legs look beautiful
,,seams,coming apart,clothing,quality,negative,strong,I,author,,have noticed the seams are coming apart at the crotch
c-18,They are nice and exactly what I expected .,,nice,product,general,positive,average,I,author,exactly what I expected,
c-19,"My husband loves his boots , excellent quality .",boots,loves,footwear,quality,positive,strong,my husband,husband,,excellent quality
c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guidance,usability,positive,average,you,author,,Follow the capezio size chart
c-21,The soles are soft too .,soles,soft,footwear,comfort,positive,average,,author,too,
c-24,Order 1 size larger than needed .,size,larger than needed,clothing,fit,negative,strong,,author,Order 1,
l-1,Great for Programming and for low end gaming,,Great,product,general,positive,strong,,author,for Programming and for low end gaming,
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,computer,operational_performance,negative,strong,,author,,"when the magsafe plug is caught inside the computer upon closing, breaking the monitor"
l-3,Images are too dark and blurry .,images,too dark and blurry,images,quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value,positive,strong,I,author,mainly to do android app development,
l-6,I 'm a mac user and I would love to get this laptop .,this laptop,would love,laptop,general,positive,strong,I,user,mac user,
l-7,Keyboard : it is all mushy no tactile feedback .,Keyboard,mushy,keyboard,operational_performance,negative,strong,,author,,no tactile feedback
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,value,positive,strong,,author,for the price,especially having an 8th gen Intel processor
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,product,quality,positive,strong,,author,,solid construction
,,keyboard,"comfortable, well-sized",keyboard,usability,positive,strong,,author,,"comfortable, well-sized keyboard"
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera and microphone,high enough quality,hardware,quality,positive,strong,,author,discord/google hangouts/etc,
