id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,quality,positive,strong,I,author,,can't imagine a better-written treatment of the subject
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,content,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,content,narrative_structure,negative,weak,,author,forewarned (as other reviews have noted),this book sets up Magician's End and you will not be particularly satisfied with the ending without keeping this in mind.
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,mixed,beliefs,ideology,neutral,average,,author,A mix of,mixed with sexual abuse
,,exit,courageous,action,personal_experience,positive,strong,,author,followed by,courageous exit
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,general,neutral,weak,you,reader,if you're into Diana books,after you've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,journey,narrative,negative,strong,I,author,at points,felt the character's journey was really a tough one to plod through
,,character's journey,ultimately satisfying,journey,narrative,positive,strong,I,author,ultimately,ultimately satisfying
b-7,OMG this book had my head spinning .,this book,had my head spinning,book,general,positive,strong,OMG,author,,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,content,general,positive,average,,author,Still,it was good to finish the series finally
,,magical world,some escape,setting,experience,positive,weak,,author,,there was some escape into the magical world
,,series,not as much fun to read as I had hoped,content,general,negative,weak,,author,just,just not as much fun to read as I had hoped
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
b-12,Highly recommend this book .,book,Highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell's Kitchen,suggest,book,general,positive,average,I,author,"if you want more details about the man in general, his family, his struggles over the years",
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,not as simple as one might think,medical treatments,effectiveness,negative,weak,,author,various,whether various treatments were actually extending the lifespans of those afflicted
,,book,not the case,content,general,positive,average,,author,the above discussion of science and statistics might make this book seem dreadfully boring,this is n't the case
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot thread,narrative_structure,positive,strong,we,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,quality,negative,strong,,author,in particular,"unsophisticated, almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,Loved,content,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,abused children,sad tale,welfare system,social_issue,negative,strong,,author,,just how easy it is for these abused children to get lost in the welfare system
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,series,general,negative,strong,,author,,And then we about hit rock bottom with The Demonwar Saga
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,ability to bring an ironic touch,author,writing_style,positive,strong,,author,,Not that there is no humour
,,crime novel,not for the faint hearted,genre,genre,negative,strong,,author,,this is not a crime novel for the faint hearted
