id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,subject,quality,positive,strong,I,author,,can't imagine a better-written treatment of the subject
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,book,plot,negative,average,,author,without keeping this in mind,this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,mixed,beliefs,ideology,negative,average,,author,A mix of,mixed with sexual abuse
,,exit,courageous,action,behavior,positive,strong,,author,,followed by a courageous exit
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,negative,average,you,reader,if you're into Diana books,after you've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,narrative,negative,average,I,author,at points,felt the character's journey was really a tough one to plod through
,,character's journey,ultimately satisfying,story,narrative,positive,strong,I,author,ultimately,ultimately satisfying
b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,positive,strong,OMG,reader,,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,series,overall_experience,positive,average,I,author,finally,it was good to finish the series
,,magical world,escape,series,setting,positive,weak,I,author,some,there was some escape into the magical world
,,reading experience,not as much fun to read as I had hoped,series,enjoyment,negative,strong,I,author,just,just not as much fun to read as I had hoped
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,book,educational_value,positive,strong,,author,while not being at all didactic in the patronizing sense,
b-12,Highly recommend this book .,book,Highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",details about the man,suggest,Roasting in Hell's Kitchen,recommendation,positive,average,I,author,if you want more,"more details about the man in general, his family, his struggles over the years"
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,not as simple as one might think,medical treatments,effectiveness,negative,average,,author,whether various treatments were actually extending the lifespans of those afflicted,the issue of whether various treatments were actually extending the lifespans of those afflicted
,,book,dreadfully boring,book,general,negative,strong,,author,might make this book seem,the above discussion of science and statistics
